,Battery,Efficiency,Fast_charge,Range,Top_speed,acceleration..0.100.,price
226,108.4,178,910.0,610,210,5.6,123561.31
228,46.0,174,320.0,265,185,7.7,38684.1
229,96.0,202,660.0,475,210,6.9,94623.99
230,89.0,176,640.0,505,210,6.3,80822.41
231,83.7,195,1060.0,430,260,2.8,215536.6
232,46.3,232,320.0,200,135,11.7,46259.6
233,90.0,209,450.0,430,200,3.9,103441.0
234,91.0,214,380.0,425,200,3.7,84257.0
236,64.0,178,540.0,360,180,5.6,50107.3
238,94.0,188,700.0,500,200,3.8,75177.3
239,90.0,186,500.0,485,200,4.0,74665.0
240,79.0,176,670.0,450,205,4.2,71149.75
241,66.5,193,500.0,345,160,8.0,60515.71
243,45.0,200,230.0,225,132,12.6,43589.1
244,59.3,174,240.0,340,160,8.2,48494.1
245,89.0,173,650.0,515,210,6.4,77384.55
246,89.0,200,690.0,445,200,6.0,83548.5
247,37.3,159,390.0,235,150,9.0,40319.1
248,77.0,195,590.0,395,180,6.6,59895.5
249,70.5,178,530.0,395,200,4.0,64855.0
251,74.0,211,860.0,350,235,4.2,73357.0
252,66.5,193,500.0,345,160,6.2,63434.73
254,108.4,203,800.0,535,250,3.4,168959.81
255,70.5,183,520.0,385,200,4.0,64855.0
256,90.6,208,550.0,435,210,6.6,97607.32
257,77.0,186,620.0,415,180,5.4,66490.0
258,77.0,177,650.0,435,180,5.5,66544.5
259,82.5,188,880.0,440,225,4.9,75428.0
260,58.0,168,460.0,345,160,6.6,44417.5
261,71.0,169,1030.0,420,230,5.4,101521.51
262,108.4,221,730.0,490,210,5.2,135754.05
265,45.0,200,230.0,225,132,12.6,53895.05
268,108.4,184,880.0,590,210,4.8,136662.02
269,83.7,174,1180.0,480,250,4.0,130888.29
270,90.6,179,750.0,505,210,4.7,96154.35
271,83.7,190,1080.0,440,220,5.1,112546.86
272,81.0,208,290.0,390,150,8.0,57868.1
273,108.4,221,730.0,490,210,6.0,124923.81
274,87.0,215,480.0,405,200,5.1,77924.1
275,68.0,257,290.0,265,130,13.3,62066.78
277,59.3,180,230.0,330,160,8.2,53944.1
278,90.6,201,570.0,450,210,7.6,90992.11
279,106.0,221,610.0,480,210,4.5,106874.5
280,77.0,186,620.0,415,180,6.6,62075.5
282,62.0,194,490.0,320,180,3.9,50674.1
283,46.3,220,330.0,210,135,11.2,41202.0
285,37.3,162,380.0,230,150,9.0,41409.1
286,90.6,218,620.0,415,210,4.3,136162.8
287,68.0,257,290.0,265,130,13.1,70337.7
